INSERT into switchtest values ('0011.A1AA.C1CC', 'sw1', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0012.A1AA.C1CC', 'sw2', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0013.A1AA.C1CC', 'sw3', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0014.A1AA.C1CC', 'sw4', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0015.A1AA.C1CC', 'sw5', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0016.A1AA.C1CC', 'sw6', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0017.A1AA.C1CC', 'sw7', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0018.A1AA.C1CC', 'sw8', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('0019.A1AA.C1CC', 'sw9', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('1010.A1AA.C1CC', 'sw10', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('1011.A1AA.C1CC', 'sw11', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('1012.A1AA.C1CC', 'sw12', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('1013.A1AA.C1CC', 'sw13', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('1014.A1AA.C1CC', 'sw14', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('1015.A1AA.C1CC', 'sw15', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1016.A1AA.C1CC', 'sw16', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1017.A1AA.C1CC', 'sw17', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1018.A1AA.C1CC', 'sw18', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1019.A1AA.C1CC', 'sw19', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1020.A1AA.C1CC', 'sw20', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1021.A1AA.C1CC', 'sw21', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1022.A1AA.C1CC', 'sw22', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1023.A1AA.C1CC', 'sw23', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1024.A1AA.C1CC', 'sw24', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1025.A1AA.C1CC', 'sw25', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1026.A1AA.C1CC', 'sw26', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1027.A1AA.C1CC', 'sw27', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1028.A1AA.C1CC', 'sw28', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1029.A1AA.C1CC', 'sw29', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1030.A1AA.C1CC', 'sw30', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1031.A1AA.C1CC', 'sw31', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1032.A1AA.C1CC', 'sw32', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1033.A1AA.C1CC', 'sw33', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1034.A1AA.C1CC', 'sw34', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1035.A1AA.C1CC', 'sw35', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1036.A1AA.C1CC', 'sw36', 'Cisco 3765', 'London, Green Str');
INSERT into switchtest values ('1037.A1AA.C1CC', 'sw37', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1038.A1AA.C1CC', 'sw38', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1039.A1AA.C1CC', 'sw39', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1040.A1AA.C1CC', 'sw40', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1041.A1AA.C1CC', 'sw41', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1042.A1AA.C1CC', 'sw42', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1043.A1AA.C1CC', 'sw43', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1044.A1AA.C1CC', 'sw44', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1045.A1AA.C1CC', 'sw45', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1046.A1AA.C1CC', 'sw46', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1047.A1AA.C1CC', 'sw47', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1048.A1AA.C1CC', 'sw48', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1049.A1AA.C1CC', 'sw49', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1050.A1AA.C1CC', 'sw50', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1051.A1AA.C1CC', 'sw51', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1052.A1AA.C1CC', 'sw52', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1053.A1AA.C1CC', 'sw53', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1054.A1AA.C1CC', 'sw54', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1055.A1AA.C1CC', 'sw55', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1056.A1AA.C1CC', 'sw56', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1057.A1AA.C1CC', 'sw57', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1058.A1AA.C1CC', 'sw58', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1059.A1AA.C1CC', 'sw59', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1060.A1AA.C1CC', 'sw60', 'Cisco 3890', 'London, Green Str');
INSERT into switchtest values ('1061.A1AA.C1CC', 'sw61', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1062.A1AA.C1CC', 'sw62', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1063.A1AA.C1CC', 'sw63', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1064.A1AA.C1CC', 'sw64', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1065.A1AA.C1CC', 'sw65', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1066.A1AA.C1CC', 'sw66', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1067.A1AA.C1CC', 'sw67', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1068.A1AA.C1CC', 'sw68', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1069.A1AA.C1CC', 'sw69', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1070.A1AA.C1CC', 'sw70', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1071.A1AA.C1CC', 'sw71', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1072.A1AA.C1CC', 'sw72', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1073.A1AA.C1CC', 'sw73', 'Cisco 5567', 'London, Green Str');
